,id_usuario,resgate,Ultima_compra,ultimas_compras,numero_ultimas_compras_x,data_impacto,IPT_x,ipt_campanha_x,delta,ipt_impacto_x,delta_resgate_x,IPT_y,ipt_impacto_y,delta_resgate_y,ipt_campanha_y,numero_ultimas_compras_y,delta_ipt,result_rel
404,9435670,2019-05-27T15:52:39.000-03:00,2019-05-24T15:13:30.000-03:00,"10/05/2019,15/05/2019,22/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,4.666666666666667,3,-1.666666666666667,2,0,4.666666666666667,2,0,3,4,0.4285714285714285,0.6428571428571428
405,2315615,2019-05-28T15:11:30.000-03:00,2019-05-24T14:21:22.000-03:00,"27/04/2019,04/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,13.5,4,-9.5,2,1,13.5,2,1,4,3,0.14814814814814814,0.2962962962962963
406,3202579,2019-05-29T15:09:54.000-03:00,2019-05-24T20:56:43.000-03:00,"05/04/2019,25/04/2019,02/05/2019,09/05/2019,17/05/2019,24/05/2019",6,2019-05-27 00:00:00-03:00,9.8,4,-5.800000000000001,2,2,9.8,2,2,4,6,0.20408163265306123,0.4081632653061224
407,8306607,2019-05-28T15:29:28.000-03:00,2019-05-24T15:32:55.000-03:00,"16/04/2019,24/05/2019,25/04/2019,29/04/2019,07/05/2019,13/05/2019,20/05/2019",7,2019-05-27 00:00:00-03:00,6.333333333333333,3,-3.333333333333333,2,1,6.333333333333333,2,1,3,7,0.3157894736842105,0.4736842105263158
408,9393144,2019-05-27T17:17:32.000-03:00,2019-05-24T17:29:12.000-03:00,"07/05/2019,15/05/2019,17/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,5.666666666666667,2,-3.666666666666667,2,0,5.666666666666667,2,0,2,4,0.3529411764705882,0.3529411764705882
409,7304632,2019-05-28T17:28:42.000-03:00,2019-05-24T17:39:46.000-03:00,"01/04/2019,06/05/2019,09/04/2019,14/05/2019,12/04/2019,24/05/2019,22/04/2019,24/04/2019,25/04/2019",9,2019-05-27 00:00:00-03:00,6.625,3,-3.625,2,1,6.625,2,1,3,9,0.30188679245283023,0.4528301886792453
410,3225968,2019-05-27T15:44:40.000-03:00,2019-05-24T15:48:39.000-03:00,"06/05/2019,13/05/2019,14/05/2019,22/05/2019,23/05/2019,24/05/2019",6,2019-05-27 00:00:00-03:00,3.6,2,-1.6,2,0,3.6,2,0,2,6,0.5555555555555556,0.5555555555555556
411,8402010,2019-05-28T16:54:09.000-03:00,2019-05-24T17:24:50.000-03:00,"10/04/2019,03/05/2019,07/05/2019,14/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,11.0,3,-8.0,2,1,11.0,2,1,3,5,0.18181818181818177,0.2727272727272727
412,8734988,2019-05-27T22:09:00.000-03:00,2019-05-24T17:27:36.000-03:00,"03/04/2019,11/04/2019,16/05/2019,20/05/2019,24/05/2019",5,2019-05-27 00:00:00-03:00,12.75,3,-9.75,2,0,12.75,2,0,3,5,0.1568627450980392,0.23529411764705882
413,6306891,2019-05-27T15:36:28.000-03:00,2019-05-24T15:42:49.000-03:00,"02/04/2019,20/05/2019,25/04/2019,04/04/2019,24/05/2019,02/05/2019,10/04/2019,07/05/2019,11/04/2019,12/05/2019,16/04/2019,13/05/2019,23/04/2019",13,2019-05-27 00:00:00-03:00,4.333333333333333,2,-2.333333333333333,2,0,4.333333333333333,2,0,2,13,0.46153846153846156,0.46153846153846156
